Zeit;Kanal A
(ms);(V)

0,00000000;1,35839100
0,00050400;1,35839100
0,00100800;1,35839100
0,00151200;1,35839100
0,00201600;1,35839100
0,00252000;1,35839100
0,00302400;1,35839100
0,00352800;1,35839100
0,00403200;1,35839100
0,00453600;1,35839100
0,00504000;1,35839100
0,00554400;1,35839100
0,00604800;1,35839100
0,00655200;1,35839100
0,00705600;1,35839100
0,00756000;1,35839100
0,00806400;1,35839100
0,00856800;1,35839100
0,00907200;1,35839100
0,00957600;1,35839100
0,01008000;1,35839100
0,01058400;1,35839100
0,01108800;1,35839100
0,01159200;1,35839100
0,01209600;1,35839100
0,01260000;1,35839100
0,01310400;1,35839100
0,01360800;1,35839100
0,01411200;1,35839100
0,01461600;1,35839100
0,01512000;1,35839100
0,01562400;1,35839100
0,01612800;1,35839100
0,01663200;1,35839100
0,01713600;1,35839100
0,01764000;1,35839100
0,01814400;1,35839100
0,01864800;1,35839100
0,01915200;1,35839100
0,01965600;1,35839100
0,02016000;1,35839100
0,02066400;1,35839100
0,02116800;1,35839100
0,02167200;1,35839100
0,02217600;1,35839100
0,02268000;1,35839100
0,02318400;1,35839100
0,02368800;1,35839100
0,02419200;1,35839100
0,02469600;1,35839100
0,02520000;1,35839100
0,02570400;1,35839100
0,02620800;1,35839100
0,02671200;1,35839100
0,02721600;1,35839100
0,02772000;1,35839100
0,02822400;1,35839100
0,02872800;1,35839100
0,02923200;1,35839100
0,02973600;1,35839100
0,03024000;1,35839100
0,03074400;1,35839100
0,03124800;1,35839100
0,03175200;1,35839100
0,03225600;1,35839100
0,03276000;1,35839100
0,03326400;1,35839100
0,03376800;1,35839100
0,03427200;1,37721500
0,03477600;1,35839100
0,03528000;1,35839100
0,03578400;1,35839100
0,03628800;1,35839100
0,03679200;1,35839100
0,03729600;1,35839100
0,03780000;1,35839100
0,03830400;1,35839100
0,03880800;1,35839100
0,03931200;1,35839100
0,03981600;1,35839100
0,04032000;1,35839100
0,04082400;1,35839100
0,04132800;1,35839100
0,04183200;1,35839100
0,04233600;1,35839100
0,04284000;1,35839100
0,04334400;1,35839100
0,04384800;1,35839100
0,04435200;1,35839100
0,04485600;1,35839100
0,04536000;1,35839100
0,04586400;1,35839100
0,04636800;1,35839100
0,04687200;1,35839100
0,04737600;1,37721500
0,04788000;1,37721500
0,04838400;1,35839100
0,04888800;1,35839100
0,04939200;1,35839100
0,04989600;1,35839100
0,05040000;1,35839100
0,05090400;1,37721500
0,05140800;1,37721500
0,05191200;1,35839100
0,05241600;1,35839100
0,05292000;1,35839100
0,05342400;1,35839100
0,05392800;1,35839100
0,05443200;1,35839100
0,05493600;1,35839100
0,05544000;1,35839100
0,05594400;1,35839100
0,05644800;1,35839100
0,05695200;1,35839100
0,05745600;1,35839100
0,05796000;1,35839100
0,05846400;1,37721500
0,05896800;1,35839100
0,05947200;1,35839100
0,05997600;1,35839100
0,06048000;1,35839100
0,06098400;1,35839100
0,06148800;1,35839100
0,06199200;1,35839100
0,06249600;1,35839100
0,06300000;1,37721500
0,06350400;1,35839100
0,06400800;1,35839100
