Zeit;Kanal A
(ms);(mV)

-25,00833239;3,25725900
-25,00333239;3,72170300
-24,99833239;4,65366600
-24,99333239;4,18768400
-24,98833239;3,72170300
-24,98333239;4,18768400
-24,97833239;4,18768400
-24,97333239;4,65366600
-24,96833239;4,18768400
-24,96333239;4,18768400
-24,95833239;4,18768400
-24,95333239;3,25725900
-24,94833239;4,18768400
-24,94333239;4,65366600
-24,93833239;3,72170300
-24,93333239;3,25725900
-24,92833239;3,72170300
-24,92333239;2,32683300
-24,91833239;3,25725900
-24,91333239;2,32683300
-24,90833239;1,86085100
-24,90333239;1,39486900
-24,89833239;0,93042560
-24,89333239;1,86085100
-24,88833239;0,46444390
-24,88333239;0,46444390
-24,87833239;0,46444390
-24,87333239;1,39486900
-24,86833239;0,00000000
-24,86333239;0,46444390
-24,85833239;0,00000000
-24,85333239;0,46444390
-24,84833239;1,39486900
-24,84333239;0,00000000
-24,83833239;0,00000000
-24,83333239;-0,46444390
-24,82833239;-0,93042560
-24,82333239;-1,39486900
-24,81833239;-0,93042560
-24,81333239;-1,39486900
-24,80833239;-0,93042560
-24,80333239;-2,32683300
-24,79833239;-1,86085100
-24,79333239;-1,39486900
-24,78833239;-2,32683300
-24,78333239;-2,79127700
-24,77833239;-2,32683300
-24,77333239;-3,72170300
-24,76833239;-3,25725900
-24,76333239;-3,72170300
-24,75833239;-3,72170300
-24,75333239;-4,18768400
-24,74833239;-3,72170300
-24,74333239;-4,65366600
-24,73833239;-4,65366600
-24,73333239;-4,18768400
-24,72833239;-4,18768400
-24,72333239;-5,11811000
-24,71833239;-3,72170300
-24,71333239;-4,65366600
-24,70833239;-4,65366600
-24,70333239;-4,18768400
-24,69833239;-3,25725900
-24,69333239;-3,72170300
-24,68833239;-2,32683300
-24,68333239;-3,25725900
-24,67833239;-2,32683300
-24,67333239;-1,86085100
-24,66833239;-1,39486900
-24,66333239;-1,39486900
-24,65833239;-1,39486900
-24,65333239;0,00000000
-24,64833239;0,46444390
-24,64333239;0,93042560
-24,63833239;2,32683300
